datetime,city,state,country,shape,duration_seconds
2003-10-11 11:32:00,newaygo,mi,us,circle,40.0
2003-10-11 13:00:00,nebraska (above?&#44 or above south dakota),ne,,cigar,2.0
2003-10-11 19:05:00,placerville,ca,us,light,600.0
2003-10-11 20:00:00,frederick,co,us,unknown,10.0
2003-10-11 20:30:00,bloomington,in,us,disk,180.0
2003-10-11 22:40:00,independence,mo,us,chevron,600.0
2004-10-11 01:00:00,honolulu,hi,us,triangle,3.0
2004-10-11 02:37:00,los angeles,ca,us,rectangle,20.0
2004-10-11 03:40:00,dallas,or,us,light,20.0
2004-10-11 04:15:00,pitman,nj,us,other,7200.0
2004-10-11 05:00:00,san jose,ca,us,light,15.0
2004-10-11 10:00:00,nuevo laredo (mexico),,,light,1200.0
2004-10-11 11:00:00,salinas,ca,us,formation,2700.0
2004-10-11 14:00:00,arroyo grande,ca,us,circle,60.0
2004-10-11 18:00:00,fresno,ca,us,rectangle,120.0
2004-10-11 19:00:00,strongsvilles,oh,,light,5.0
2004-10-11 22:29:00,laredo,tx,us,fireball,1351.0
2004-10-11 23:00:00,lake worth,fl,us,formation,7200.0
2004-10-11 23:15:00,williamsville,ny,us,light,540.0
2005-10-11 00:00:00,cannock (uk/england),,gb,formation,180.0
2005-10-11 00:00:00,holiday,fl,us,light,180.0
2005-10-11 03:00:00,eagan,mn,us,circle,7200.0
2005-10-11 03:20:00,siloam sprngs,ar,,circle,180.0
2005-10-11 16:00:00,canyonlands np,ut,,formation,600.0
2005-10-11 16:36:00,lake point,ut,us,light,720.0
2005-10-11 18:33:00,pearl harbor,hi,,light,2.0
2005-10-11 18:45:00,peoria,az,us,light,5400.0
2005-10-11 19:00:00,buckeye,az,us,formation,1800.0
2005-10-11 19:00:00,casa grande,az,us,light,1800.0
2005-10-11 19:30:00,tempe,az,us,triangle,3.0
2005-10-11 19:45:00,mobile,al,us,light,1800.0
2005-10-11 21:00:00,little ferry,nj,us,oval,300.0
2005-10-11 21:00:00,wall lake,ia,us,light,10.0
2005-10-11 21:50:00,rotherham (south yorkshire) (uk/england),,gb,oval,3600.0
2006-10-11 01:25:00,nashville,tn,us,disk,13.0
2006-10-11 02:00:00,calumet city,in,,circle,420.0
2006-10-11 05:40:00,york,me,,disk,30.0
2006-10-11 09:00:00,littlerock,ar,,oval,600.0
2006-10-11 11:29:00,lynnwood,wa,us,unknown,120.0
2006-10-11 19:00:00,monterey park,ca,us,fireball,120.0
2006-10-11 19:30:00,two harbors,mn,us,light,600.0
2006-10-11 20:45:00,pensacola,fl,us,diamond,3600.0
2006-10-11 21:00:00,milton,fl,us,light,900.0
2006-10-11 21:20:00,kidlington (uk/england),,gb,formation,5.0
